,context,dominant_topic,perc_contribution,topic_keywords
0,set up tear down log manager shutdown close test logger root logger get root logger vector appender vector appender vector appender async appender async appender async appender async appender set name async close test async appender add appender vector appender root add appender async appender root debug m async appender close root debug m vector v vector appender get vector equals v size test logger root logger get root logger vector appender vector appender vector appender async appender async appender async appender async appender set name async test async appender add appender vector appender root add appender async appender root debug m async appender close root debug m vector v vector appender get vector equals v size true vector appender is closed test len logger root logger get root logger vector appender vector appender vector appender async appender async appender async appender async appender set name async test async appender add appender vector appender root add appender async appender i i len i root debug message i root debug message i system out println done loop system out flush async appender close root debug m vector v vector appender get vector equals v size len true vector appender is closed,4,22.3006,appender filter buf pattern equals exception logger get bf calendar
1,append null pointer exception close requires layout false test bad appender appender null pointer appender null pointer appender async appender async appender async appender async appender add appender null pointer appender async appender set buffer size async appender activate options logger root logger get root logger root add appender null pointer appender root info message thread sleep root info message fail should have thrown exception null pointer exception ex root info message thread sleep root info message fail should have thrown exception test location info true blockable vector appender blockable appender blockable vector appender async appender async async appender async add appender blockable appender async set buffer size async set location info true async set blocking false async activate options logger root logger logger get root logger root logger add appender async greeter greeter greeter root logger blockable appender get monitor greeter run root logger error that s all folks greeter run root logger error that s all folks async close vector events blockable appender get vector logging event initial event logging event events get logging event discard event logging event events get events size pattern layout layout pattern layout layout set conversion pattern c l m n layout activate options string initial str layout format initial event equals async appender test get name initial str substring async appender test get name length string discard str layout format discard event equals discard str substring test location info false blockable vector appender blockable appender blockable vector appender async appender async async appender async add appender blockable appender async set buffer size async set location info false async set blocking false async activate options logger root logger logger get root logger root logger add appender async greeter greeter greeter root logger blockable appender get monitor greeter run root logger error that s all folks greeter run root logger error that s all folks async close vector events blockable appender get vector logging event initial event logging event events get logging event discard event logging event events get events size pattern layout layout pattern layout layout set conversion pattern c l m n layout activate options string initial str layout format initial event equals initial str substring string discard str layout format discard event equals discard str substring,2,31.3789,filter layout test exception pattern appender capture logger string root
2,logger logger repetitions logger null illegal argument exception logger illegal argument exception logger logger logger repetitions repetitions run i i repetitions i logger info hello world thread sleep interrupted exception ex thread current thread interrupt i i repetitions i logger info hello world thread sleep logger info hello world thread sleep thread current thread interrupt,2,4.0869,filter layout test exception pattern appender capture logger string root
3,object monitor object append monitor append event event get level level fatal logger logger logger get logger event get logger name logger error event get message to string logger warn event get message to string logger info event get message to string logger debug event get message to string append event event get level level fatal logger logger logger get logger event get logger name logger error event get message to string logger warn event get message to string logger info event get message to string logger debug event get message to string logger logger logger get logger event get logger name logger error event get message to string logger warn event get message to string logger info event get message to string logger debug event get message to string get monitor monitor test mutable message blockable vector appender blockable appender blockable vector appender async appender async async appender async add appender blockable appender async set buffer size async set location info false async activate options logger root logger logger get root logger root logger add appender async string buffer buf string buffer hello blockable appender get monitor root logger info buf buf append world root logger info buf buf append world async close vector events blockable appender get vector logging event event logging event events get pattern layout layout pattern layout layout set conversion pattern m layout activate options string msg layout format event equals hello msg,2,22.3451,filter layout test exception pattern appender capture logger string root
4,test forced log mock category category mock category org example foo category set additivity false category add appender vector appender category info hello world test get chained priority type method method category get method get chained priority null true method get type priority test l dlog logger logger logger get logger org example foo logger set level level error priority debug level debug logger l dlog debug hello world null test l dlog param logger logger logger get logger org example foo logger set level level error priority debug level debug logger l dlog debug hello world object null test set priority logger logger logger get logger org example foo priority debug level debug logger set priority debug,2,7.831,filter layout test exception pattern appender capture logger string root
5,repository hierarchy info priority info level info forced log mock category to string info msg null,112,1.622,counter info name catstr number empty repository forced bad additivity
6,suite test suite s test suite s add test suite logging event test s add test suite org apache log j level test s add test suite org apache log j priority test s add test suite org apache log j category test s add test suite org apache log j file appender test s add test suite org apache log j log manager test s add test suite org apache log j helpers log log test s add test suite org apache log j layout test s add test suite org apache log j helpers date layout test s add test suite org apache log j ttcc layout test s add test suite org apache log j xml xml layout test s add test suite org apache log j html layout test s add test suite org apache log j pattern layout test s add test suite org apache log j spi logging event test s add test suite org apache log j spi throwable information test s add test suite org apache log j spi location info test s add test suite org apache log j property configurator test s add test suite org apache log j net smtp appender test s add test suite org apache log j net telnet appender test s add test suite org apache log j throwable renderer test s add test suite org apache log j enhanced throwable renderer test s add test suite org apache log j test log xf s add test suite org apache log j test log mf s add test suite org apache log j test log sf s add test suite org apache log j pattern cached date format test s add test suite org apache log j pattern formatting info test s add test suite org apache log j pattern name abbreviator test s add test suite org apache log j pattern pattern parser test s add test suite org apache log j helpers util logging level test s,12,46.0824,i test file message logger s suite exception pattern map
7,string fqcn x logger get name x factory factory x factory string suffix activate options debug log fqcn level debug message suffix null lethal repository is disabled x level lethal x level lethal is greater or equal get effective level forced log fqcn x level lethal message t lethal repository is disabled x level lethal x level lethal is greater or equal get effective level forced log fqcn x level lethal message null get logger log manager get logger name factory get logger x logger get logger clazz get name get suffix suffix set suffix suffix suffix trace repository is disabled x level trace x level trace is greater or equal get effective level forced log fqcn x level trace message t trace repository is disabled x level trace x level trace is greater or equal get effective level forced log fqcn x level trace message null,43,17.8832,x lethal is a logger trace debug equals suffix get
8,make logger instance x logger name,9,0.8111,logger appender root syslog a layout ca level i log
9,string filtered output filtered x logger logger x logger x logger get logger x logger test tear down logger get logger repository reset configuration test common test common common dom configurator configure input xml custom logger number xml i logger trace message i logger debug message i logger warn message i logger error message i logger fatal message i exception e exception just testing logger debug message i e transformer transform output temp filtered filter line number filter sun reflect filter junit test runner filter true compare compare filtered witness custom logger number suite test suite suite test suite suite add test x logger test test suite add test x logger test test suite,2,13.7327,filter layout test exception pattern appender capture logger string root
10,set up tear down log manager shutdown none test logger root logger get root logger root is configured root get all appenders has more elements true root is configured suite test suite suite test suite suite add test test none test suite,2,3.6664,filter layout test exception pattern appender capture logger string root
11,set up tear down log manager shutdown xml test logger root logger get root logger root is configured root get all appenders has more elements true root is configured enumeration e root get all appenders appender appender appender e next element equals appender get name d suite test suite suite test suite suite add test test xml test suite,2,5.2148,filter layout test exception pattern appender capture logger string root
12,set up tear down log manager shutdown properties test logger root logger get root logger root is configured root get all appenders has more elements true root is configured enumeration e root get all appenders appender appender appender e next element equals appender get name d suite test suite suite test suite suite add test test properties test suite,2,5.2348,filter layout test exception pattern appender capture logger string root
13,set up tear down log manager shutdown combined test logger root logger get root logger root is configured root get all appenders has more elements true root is configured enumeration e root get all appenders appender appender appender e next element equals appender get name d equals e has more elements false suite test suite suite test suite suite add test test combined test suite,2,5.2307,filter layout test exception pattern appender capture logger string root
